iter	Passed	Remaining
413	3777	5346
414	3790	5342
415	3797	5330
416	3805	5320
417	3810	5305
418	3816	5291
419	3822	5279
420	3829	5267
421	3841	5261
422	3856	5260
423	3882	5274
424	3897	5272
425	3906	5263
426	3914	5252
427	3922	5242
428	3929	5230
429	3934	5215
430	3941	5203
431	3955	5201
432	3969	5197
433	3977	5186
434	4004	5201
435	4036	5221
436	4068	5241
437	4083	5240
438	4091	5228
439	4111	5232
440	4117	5219
441	4123	5205
442	4136	5200
443	4141	5185
444	4148	5173
445	4159	5167
446	4166	5154
447	4174	5143
448	4183	5133
449	4192	5124
450	4199	5111
451	4214	5109
452	4225	5102
453	4236	5095
454	4246	5086
455	4262	5085
456	4276	5080
457	4285	5071
458	4306	5075
459	4319	5070
460	4333	5066
461	4339	5053
462	4348	5043
463	4355	5031
464	4363	5020
465	4376	5015
466	4387	5007
467	4396	4997
468	4407	4990
469	4412	4976
470	4419	4964
471	4425	4950
472	4435	4942
473	4442	4929
474	4449	4918
475	4456	4905
476	4465	4896
477	4472	4884
478	4487	4881
479	4497	4872
480	4514	4871
481	4525	4863
482	4533	4852
483	4545	4846
484	4553	4834
485	4562	4824
486	4572	4816
487	4578	4803
488	4584	4790
489	4601	4789
490	4606	4775
491	4612	4762
492	4626	4758
493	4637	4750
494	4643	4737
495	4656	4731
496	4661	4718
497	4679	4717
498	4690	4709
499	4707	4707
500	4716	4698
501	4723	4686
502	4731	4675
503	4739	4664
504	4745	4651
505	4755	4642
506	4761	4629
507	4767	4617
508	4772	4603
509	4780	4592
510	4791	4584
511	4801	4576
512	4807	4563
513	4823	4560
514	4828	4547
515	4834	4535
516	4842	4523
517	4848	4511
518	4857	4501
519	4872	4497
520	4879	4486
521	4885	4473
522	4907	4475
523	4918	4467
524	4925	4456
525	4930	4443
526	4941	4435
527	4947	4422
528	4952	4409
529	4958	4397
530	4966	4386
531	4977	4379
532	4985	4368
533	4990	4355
534	5005	4350
535	5015	4341
536	5022	4330
537	5033	4322
538	5039	4310
539	5118	4359
540	5128	4350
541	5143	4345
542	5149	4334
543	5154	4320
544	5164	4311
545	5170	4299
546	5175	4286
547	5183	4275
548	5191	4265
549	5204	4257
550	5210	4245
551	5215	4233
552	5223	4222
553	5232	4212
554	5254	4213
555	5272	4210
556	5290	4207
557	5306	4203
558	5321	4198
559	5337	4193
560	5350	4186
561	5355	4173
562	5365	4164
563	5370	4152
564	5376	4139
565	5386	4130
566	5391	4117
567	5398	4106
568	5404	4093
569	5415	4085
570	5424	4075
571	5434	4066
572	5442	4055
573	5448	4043
574	5464	4038
575	5473	4028
576	5480	4017
577	5491	4009
578	5499	3998
579	5506	3987
580	5514	3976
581	5525	3968
582	5530	3955
583	5537	3944
584	5544	3933
585	5550	3921
586	5555	3908
587	5561	3896
588	5570	3886
589	5575	3874
590	5580	3862
591	5586	3850
592	5595	3840
593	5604	3830
594	5609	3817
595	5618	3808
596	5625	3797
597	5635	3788
598	5648	3781
599	5658	3772
600	5669	3763
601	5686	3759
602	5693	3748
603	5714	3746
604	5726	3739
605	5744	3735
606	5750	3723
607	5764	3716
608	5774	3707
609	5785	3698
610	5801	3693
611	5808	3682
612	5818	3673
613	5824	3661
614	5834	3652
615	5845	3643
616	5854	3634
617	5866	3626
618	5876	3616
619	5885	3607
620	5901	3601
621	5906	3589
622	5913	3578
623	5918	3566
624	5929	3557
625	5935	3546
626	5952	3541
627	5971	3536
628	5985	3530
629	5990	3518
630	6004	3511
631	6022	3506
632	6037	3500
633	6068	3503
634	6094	3503
635	6101	3491
636	6120	3487
637	6143	3485
638	6151	3475
639	6168	3469
640	6174	3458
641	6181	3446
642	6190	3437
643	6196	3425
644	6203	3414
645	6212	3404
646	6223	3395
647	6229	3383
648	6250	3380
649	6261	3371
650	6281	3367
651	6294	3359
652	6308	3352
653	6314	3340
654	6326	3332
655	6331	3320
656	6338	3309
657	6347	3299
658	6357	3289
659	6364	3278
660	6370	3267
661	6379	3257
662	6385	3245
663	6391	3234
664	6403	3226
665	6411	3215
666	6419	3205
667	6436	3198
668	6449	3190
669	6456	3180
670	6469	3171
671	6481	3163
672	6491	3154
673	6498	3143
674	6505	3132
675	6514	3122
676	6519	3110
677	6526	3099
678	6534	3089
679	6542	3078
680	6548	3067
681	6555	3056
682	6560	3044
683	6568	3034
684	6573	3022
685	6578	3011
686	6584	2999
687	6593	2990
688	6598	2978
689	6605	2967
690	6611	2956
691	6636	2953
692	6642	2942
693	6661	2937
694	6674	2929
695	6690	2922
696	6696	2910
697	6777	2932
698	6790	2924
699	6800	2914
700	6844	2919
701	6858	2911
702	6873	2903
703	6878	2892
704	6886	2881
705	6891	2869
706	6906	2862
707	6913	2851
708	6921	2840
709	6931	2831
710	6937	2819
711	6942	2808
712	6954	2799
713	6959	2787
714	6967	2777
715	6975	2766
716	6987	2757
717	6999	2749
718	7004	2737
719	7011	2726
720	7021	2716
721	7026	2705
722	7034	2695
723	7048	2686
724	7056	2676
725	7067	2667
726	7072	2655
727	7081	2645
728	7090	2635
729	7101	2626
730	7106	2615
731	7116	2605
732	7128	2596
733	7135	2585
734	7149	2577
735	7160	2568
736	7167	2557
737	7182	2549
738	7192	2540
739	7200	2529
740	7213	2521
741	7223	2511
742	7229	2500
743	7241	2491
744	7247	2480
745	7271	2475
746	7288	2468
747	7295	2457
748	7304	2447
749	7311	2437
750	7326	2429
751	7340	2420
752	7345	2409
753	7360	2401
754	7366	2390
755	7379	2381
756	7388	2371
757	7404	2364
758	7411	2353
759	7419	2342
760	7425	2331
761	7433	2321
762	7465	2318
763	7485	2312
764	7492	2301
765	7503	2292
766	7508	2280
767	7523	2272
768	7533	2263
769	7541	2252
770	7555	2244
771	7565	2234
772	7571	2223
773	7585	2214
774	7590	2203
775	7598	2193
776	7605	2182
777	7611	2172
778	7617	2160
779	7622	2150
780	7634	2140
781	7642	2130
782	7653	2121
783	7666	2112
784	7682	2104
785	7692	2094
786	7697	2083
787	7712	2074
788	7717	2063
789	7724	2053
790	7732	2043
791	7743	2033
792	7748	2022
793	7755	2012
794	7762	2001
795	7777	1993
796	7785	1983
797	7790	1972
798	7798	1961
799	7804	1951
800	7810	1940
801	7824	1931
802	7830	1920
803	7843	1912
804	7858	1903
805	7872	1894
806	7884	1885
807	7889	1874
808	7901	1865
809	7907	1854
810	7914	1844
811	7922	1834
812	7931	1824
813	7939	1814
814	7949	1804
815	7956	1794
816	7969	1785
817	7984	1776
818	7993	1766
819	7998	1755
820	8003	1744
821	8016	1735
822	8027	1726
823	8047	1718
824	8052	1708
825	8068	1699
826	8078	1689
827	8083	1679
828	8095	1669
829	8100	1659
830	8107	1648
831	8113	1638
832	8119	1627
833	8126	1617
834	8132	1606
835	8138	1596
836	8146	1586
837	8156	1576
838	8161	1566
839	8168	1555
