iter	RMSE
213	16313.3779
214	16275.69999
215	16245.55082
216	16218.37887
217	16170.15539
218	16137.76423
219	16106.71884
220	16081.09035
221	16046.06692
222	16014.31701
223	15965.41713
224	15942.09948
225	15893.57662
226	15864.27755
227	15837.90468
228	15804.83433
229	15776.16748
230	15752.06202
231	15729.21035
232	15698.54216
233	15676.16364
234	15634.73274
235	15603.8816
236	15578.67781
237	15546.73891
238	15528.59909
239	15498.82967
240	15461.00532
241	15438.28432
242	15410.82462
243	15388.12009
244	15354.52601
245	15318.78629
246	15280.57785
247	15260.07002
248	15232.36
249	15203.19183
250	15183.91738
251	15137.50404
252	15124.30381
253	15090.35197
254	15069.60435
255	15031.88983
256	14994.77012
257	14973.87696
258	14951.56782
259	14928.4854
260	14897.23337
261	14864.37802
262	14853.49419
263	14825.23689
264	14786.77294
265	14749.93961
266	14735.04054
267	14714.13872
268	14694.22607
269	14681.87673
270	14644.25623
271	14621.06244
272	14600.352
273	14557.86803
274	14527.20432
275	14496.52869
276	14466.08321
277	14436.69917
278	14401.02657
279	14368.86199
280	14346.48074
281	14319.02955
282	14296.80645
283	14284.04811
284	14271.17115
285	14235.55238
286	14210.91572
287	14201.97095
288	14187.3536
289	14171.42978
290	14148.20524
291	14140.36409
292	14112.85011
293	14094.02054
294	14079.31406
295	14051.83541
296	14039.20334
297	14014.1219
298	13997.58199
299	13972.07933
300	13960.06612
301	13924.55277
302	13894.17387
303	13861.43034
304	13830.80613
305	13811.55472
306	13802.25785
307	13770.2874
308	13742.08462
309	13722.47922
310	13693.15752
311	13670.07933
312	13644.51156
313	13612.1567
314	13605.69306
315	13583.98035
316	13564.94753
317	13541.39515
318	13518.27478
319	13505.8462
320	13484.99534
321	13480.69014
322	13456.82463
323	13437.69542
324	13410.10379
325	13379.36629
326	13349.76029
327	13324.25707
328	13314.20893
329	13293.0045
330	13263.13686
331	13257.33965
332	13233.33551
333	13219.0585
334	13191.03142
335	13169.56028
336	13148.8711
337	13128.33412
338	13103.50282
339	13084.09113
340	13079.17006
341	13061.72708
342	13037.85683
343	13018.68814
344	13006.52241
345	12989.63272
346	12974.11198
347	12952.95163
348	12940.42982
349	12925.04482
350	12906.26478
351	12891.29094
352	12862.12956
353	12839.74062
354	12807.13024
355	12796.17476
356	12775.71933
357	12758.25918
358	12734.34626
359	12717.70861
360	12698.13783
361	12678.95208
362	12662.68687
363	12639.88468
364	12620.43859
365	12604.75486
366	12584.99821
367	12569.6816
368	12562.91909
369	12543.6475
370	12525.29805
371	12502.68097
372	12479.66061
373	12462.91731
374	12432.81505
375	12420.67509
376	12411.15006
377	12393.83301
378	12389.63179
379	12372.4075
380	12355.96304
381	12334.67727
382	12317.13675
383	12288.77442
384	12270.50541
385	12266.46849
386	12248.31702
387	12240.79151
388	12226.03818
389	12210.70595
390	12192.45874
391	12174.80916
392	12153.94929
393	12142.89525
394	12118.18659
395	12104.04225
396	12076.99063
397	12057.70792
398	12029.62725
399	12021.01086
400	12005.37716
401	12001.76249
402	11983.34016
403	11970.48312
404	11950.74116
405	11925.74755
406	11905.47334
407	11885.58926
408	11869.30693
409	11841.48357
410	11820.99118
411	11787.81227
412	11770.76682
413	11748.8623
414	11735.11979
415	11708.9911
416	11684.5886
417	11681.64775
418	11675.40309
419	11659.84448
420	11656.18494
421	11643.93154
422	11641.05717
423	11632.70753
424	11611.43519
425	11602.19295
426	11593.02646
427	11575.33759
428	11559.60146
429	11540.00825
430	11515.90394
431	11496.9323
432	11477.63277
433	11468.93441
434	11440.62342
435	11436.02449
436	11430.88043
437	11414.61795
438	11394.38983
439	11383.02137
440	11369.4102
441	11348.48499
442	11325.84171
443	11310.03787
444	11298.95988
445	11294.37391
446	11280.52135
447	11270.21769
448	11258.88885
449	11243.56748
450	11222.53557
451	11201.75941
452	11196.02415
453	11190.37044
454	11183.85297
455	11181.82248
456	11172.17693
457	11157.49821
458	11155.73522
459	11140.57938
460	11117.73819
461	11100.97691
462	11097.62631
463	11078.07949
464	11060.20024
465	11045.03337
466	11025.98331
467	11003.65
468	10985.21493
469	10963.6015
470	10945.6096
471	10943.03068
472	10926.19099
473	10914.65787
474	10913.85388
475	10889.81566
476	10864.16987
477	10846.2039
478	10844.08541
479	10843.22934
480	10824.10645
481	10813.12222
482	10797.48179
483	10775.56461
484	10773.11672
485	10761.68683
486	10755.09608
487	10738.88671
488	10731.72394
489	10709.99483
490	10699.73064
491	10687.64537
492	10685.22159
493	10676.24816
494	10661.4599
495	10646.14138
496	10631.41908
497	10611.03006
498	10593.58285
499	10586.40666
500	10578.59708
501	10556.58236
502	10540.6836
503	10524.62908
504	10511.04379
505	10486.98076
506	10469.11678
507	10450.06088
508	10449.30127
509	10437.75427
510	10432.42895
511	10430.83247
512	10413.73021
513	10393.48014
514	10386.98209
515	10384.13475
516	10366.36739
517	10363.20473
518	10346.22352
519	10333.81912
520	10323.2711
521	10314.20432
522	10294.80348
523	10278.50714
524	10264.58541
525	10250.77727
526	10240.32328
527	10230.83932
528	10218.73017
529	10217.3766
530	10204.75814
531	10188.96853
532	10174.69886
533	10165.03247
534	10159.37609
535	10145.98589
536	10134.61202
537	10117.1061
538	10104.35655
539	10100.60408
540	10097.20419
541	10078.31747
542	10077.15922
543	10059.60174
544	10050.98034
545	10036.17111
546	10025.92416
547	10005.38094
548	9990.69471
549	9980.132982
550	9968.960859
551	9959.938954
552	9937.48001
553	9924.656892
554	9910.287091
555	9906.430651
556	9893.274993
557	9879.798499
558	9864.172655
559	9840.822119
560	9829.345421
561	9817.260871
562	9808.239356
563	9794.750598
564	9786.662457
565	9776.010531
566	9764.634315
567	9752.689791
568	9735.751418
569	9732.03496
570	9714.868509
571	9700.71499
572	9696.998307
573	9687.461055
574	9674.390932
575	9671.574663
576	9670.770987
577	9660.221096
578	9644.580991
579	9626.281206
580	9608.66831
581	9588.967223
582	9577.904735
583	9567.645988
584	9552.090363
585	9542.670552
586	9537.551289
587	9524.013393
588	9510.046457
589	9501.047468
590	9488.799053
591	9475.599563
592	9459.95081
593	9454.628593
594	9443.070087
595	9434.147761
596	9415.192284
597	9413.182327
598	9408.525658
599	9407.972739
600	9395.534942
601	9378.245359
602	9368.225672
603	9364.126767
604	9362.648611
605	9344.512441
606	9333.604931
607	9323.826568
608	9308.619267
609	9296.362231
610	9284.340563
611	9268.491734
612	9259.592116
613	9242.566647
614	9222.293201
615	9209.209437
616	9207.594174
617	9200.579841
618	9196.967607
619	9190.837501
620	9178.639411
621	9170.220548
622	9156.727352
623	9145.11453
624	9137.39596
625	9136.724128
626	9122.04956
627	9116.15933
628	9104.730741
629	9104.16685
630	9092.027177
631	9079.393961
632	9070.928997
633	9049.895732
634	9049.052359
635	9044.916532
636	9032.956535
637	9021.089651
638	9009.280694
639	9005.343769
640	8984.175854
641	8975.169081
642	8962.121788
643	8950.014867
644	8941.567871
645	8928.497344
646	8919.213518
647	8905.747846
648	8899.591584
649	8891.7969
650	8880.871276
651	8865.217372
652	8864.029012
653	8858.314474
654	8851.604748
655	8844.326439
656	8832.262162
657	8827.601166
658	8820.199246
659	8801.882297
660	8790.554852
661	8776.931369
662	8769.524835
663	8760.008665
664	8752.479332
665	8743.194686
666	8735.943924
667	8735.032957
668	8729.64805
669	8723.701675
670	8715.182686
671	8705.504949
672	8690.199341
673	8681.776339
674	8667.027784
675	8663.456319
676	8648.4098
677	8647.862657
678	8631.066793
679	8622.526825
680	8614.529086
681	8600.194271
682	8589.892873
683	8576.387115
684	8572.056073
685	8557.682426
686	8550.526097
687	8540.841356
688	8534.974791
689	8523.381133
690	8517.029733
691	8511.410201
692	8502.932316
693	8492.84687
694	8486.614313
695	8478.41729
696	8470.31947
697	8460.62
698	8447.583704
699	8443.588981
700	8438.367697
701	8436.624531
702	8426.303342
703	8419.332145
704	8411.542215
705	8410.776142
706	8409.988415
707	8398.206743
708	8383.641412
709	8375.170497
710	8368.509396
711	8351.701135
712	8344.01192
713	8330.288026
714	8320.618185
715	8318.960497
716	8303.785106
717	8294.202286
718	8291.355694
719	8281.204796
720	8271.377811
721	8261.466367
722	8251.659086
723	8234.19593
724	8231.537247
725	8213.638908
726	8206.489656
727	8194.427417
728	8194.065797
729	8183.376417
730	8167.063247
731	8157.527546
732	8146.275417
733	8132.375113
734	8123.215056
735	8117.88025
736	8109.2223
737	8101.857181
738	8082.409069
739	8072.370068
740	8066.436077
741	8063.679365
742	8060.22899
743	8044.309053
744	8036.941088
745	8033.888686
746	8024.234536
747	8008.264695
748	8007.513149
749	7999.834714
750	7998.185735
751	7986.172399
752	7976.920361
753	7968.178561
754	7957.780321
755	7952.078916
756	7938.921657
757	7929.283054
758	7928.924211
759	7920.36705
760	7914.939664
761	7910.82969
762	7903.465244
763	7893.784597
764	7882.671944
765	7874.74366
766	7866.932433
767	7865.155068
768	7850.36941
769	7847.986888
770	7838.092508
771	7837.110298
772	7830.883185
773	7822.645095
774	7814.262477
775	7799.858566
776	7783.639026
777	7774.975415
778	7765.186763
779	7754.456196
780	7744.839474
781	7735.153265
782	7730.477541
783	7717.641191
784	7703.439372
785	7694.800524
786	7685.312888
787	7677.71438
788	7677.389543
789	7672.713259
790	7661.988487
791	7649.983821
792	7643.944614
793	7633.977754
794	7625.875783
795	7625.581116
796	7620.306954
797	7609.136249
798	7601.313989
799	7591.240477
800	7580.830538
801	7575.81063
802	7562.449612
803	7561.676246
804	7551.143444
805	7538.379189
806	7530.728987
807	7520.59529
808	7517.40087
809	7509.693306
810	7507.409968
811	7500.631256
812	7499.940621
813	7489.309376
814	7489.023252
815	7482.253616
816	7475.727114
817	7466.401289
818	7456.655907
819	7450.574484
820	7447.589688
821	7439.984431
822	7426.877037
823	7422.021998
824	7416.025317
825	7407.573347
826	7403.077255
827	7392.45215
828	7384.016527
829	7379.561504
830	7371.023253
831	7366.00353
832	7364.256238
833	7357.193936
834	7347.679077
835	7338.037191
836	7329.859372
837	7328.293696
838	7318.335395
839	7308.519691
840	7302.764742
841	7291.453665
842	7288.589935
843	7279.60927
844	7267.270706
845	7260.654133
846	7255.288962
847	7250.75912
848	7243.749561
849	7236.129515
850	7227.626862
851	7223.422921
852	7212.362669
853	7199.648847
854	7194.199856
855	7181.437082
856	7171.55061
857	7165.613054
858	7158.193544
859	7148.429864
860	7140.099399
861	7134.088898
862	7120.363863
863	7112.980592
864	7108.83569
865	7099.069427
866	7093.560268
867	7081.708145
868	7080.711296
869	7073.712127
870	7068.121255
871	7051.887518
872	7049.019452
873	7042.011818
874	7033.311424
875	7026.278409
876	7022.751734
877	7011.4966
878	7005.237671
879	6998.982537
880	6994.125112
881	6993.666456
882	6989.551175
883	6975.772006
884	6974.857721
885	6967.381025
886	6958.359627
887	6950.453024
888	6946.237767
889	6938.621133
890	6928.29107
891	6918.508299
892	6910.894203
893	6904.820191
894	6896.436342
895	6887.884338
896	6880.861905
897	6878.165708
898	6866.669433
899	6862.180736
900	6853.76715
901	6846.732302
902	6836.980576
903	6827.614584
904	6819.351486
905	6811.759219
906	6804.299783
907	6799.307286
908	6787.607803
909	6782.789937
910	6775.092655
911	6764.630486
912	6757.904082
913	6748.289495
914	6737.884079
915	6730.227515
916	6722.218781
917	6712.53753
918	6705.051253
919	6698.647835
920	6692.734212
921	6688.169443
922	6684.765209
923	6677.191494
924	6671.161578
925	6665.251202
926	6658.51126
927	6648.515754
928	6643.663739
929	6639.612683
930	6630.018449
931	6622.031965
932	6613.373751
933	6605.996081
934	6596.798028
935	6594.435541
936	6590.12069
937	6582.349164
938	6574.03924
939	6567.486048
940	6560.474033
941	6554.244836
942	6547.931883
943	6540.112848
944	6530.065058
945	6519.288577
946	6507.88034
947	6498.524296
948	6495.647097
949	6490.072364
950	6483.96181
951	6480.35696
952	6475.978241
953	6470.885023
954	6466.551212
955	6458.6291
956	6452.095843
957	6442.686039
958	6440.031099
959	6434.392471
960	6427.887849
961	6419.298781
962	6414.145394
963	6406.927616
964	6402.212358
965	6397.126042
966	6386.531413
967	6377.332644
968	6365.613846
969	6358.626402
970	6350.918607
971	6342.745155
972	6338.616557
973	6335.534896
974	6327.44236
975	6315.091326
976	6306.951089
977	6304.833168
978	6300.290225
979	6294.472712
980	6284.348152
981	6280.086656
982	6278.040456
983	6271.950719
984	6266.004967
985	6264.646844
986	6263.933588
987	6260.725112
988	6248.496588
989	6242.298668
990	6235.77614
991	6227.331328
992	6220.26325
993	6219.201522
994	6216.331738
995	6215.541348
996	6213.16708
997	6206.637793
998	6203.332023
999	6200.166271
